aX,aY,aZ,gX,gY,gZ
0.001,-0.741,1.164,-19.043,-15.381,-73.792
-0.025,-0.670,1.077,-4.089,-10.498,-64.514
-0.030,-0.789,0.923,0.427,-11.719,-59.570
0.030,-0.953,0.861,-12.390,-12.695,-48.218
0.031,-1.043,0.812,-26.550,-12.085,-34.668
0.029,-1.222,0.854,-50.354,-15.381,-20.752
0.052,-1.243,0.843,-54.321,-17.395,-3.784
0.032,-1.143,0.899,-28.809,-16.724,13.184
0.031,-0.910,0.968,-9.155,-15.991,28.381
0.038,-0.701,0.975,16.113,-13.916,42.908
0.045,-0.635,1.002,40.344,-14.160,54.993
0.091,-0.658,0.989,60.852,-13.550,68.726
0.149,-0.686,0.967,65.430,-14.587,82.520
0.150,-0.565,0.971,55.969,-15.869,94.360
0.093,-0.342,0.921,44.617,-15.991,102.905
0.051,-0.470,1.011,18.127,-16.663,108.337
0.016,-0.203,1.049,-13.428,-14.099,115.356
-0.018,0.045,1.059,-19.470,-12.207,113.159
-0.032,0.487,0.992,12.512,-11.841,105.713
-0.042,0.516,0.941,36.743,-10.315,90.942
-0.074,0.543,1.092,32.288,-11.108,78.491
-0.065,0.613,1.035,28.992,-9.644,69.336
-0.092,0.626,0.874,19.775,-11.719,59.509
-0.057,0.693,0.921,3.601,-12.085,45.898
-0.050,0.974,0.891,8.118,-7.935,29.114
-0.095,1.003,0.883,8.728,-7.141,2.380
-0.045,0.881,0.914,-14.771,-7.568,-21.057
0.024,0.817,0.938,-26.917,-6.958,-38.330
0.042,0.615,0.918,-31.067,-7.568,-56.030
0.051,0.394,0.892,-39.246,-8.118,-69.946
0.062,0.266,0.906,-44.983,-7.324,-79.285
0.022,0.204,1.023,-46.631,-6.470,-85.388
0.011,0.478,0.993,-43.030,-2.869,-89.844
0.048,0.422,0.849,-22.583,-2.869,-101.013
0.080,0.159,0.740,-27.893,-7.446,-112.732
0.038,-0.069,0.812,-40.405,-11.963,-117.249
-0.052,-0.018,0.898,-42.603,-13.367,-117.126
-0.037,-0.368,0.932,-39.185,-15.686,-119.263
-0.070,-0.976,0.866,-48.279,-20.142,-114.685
-0.012,-1.379,1.135,-64.575,-21.118,-94.299
0.042,-1.319,1.101,-62.744,-11.414,-72.144
-0.029,-1.123,0.985,-57.251,-7.324,-62.256
-0.016,-1.199,0.969,-52.063,-7.507,-48.462
0.040,-1.412,1.022,-37.903,-6.531,-22.705
0.057,-1.642,1.042,-29.785,-7.935,10.010
0.099,-1.476,1.074,-18.555,-9.644,42.969
0.093,-0.984,1.070,12.390,-5.554,63.110
0.060,-0.617,1.000,46.875,-4.028,70.801
0.090,-0.486,0.908,65.796,-8.240,81.543
0.158,-0.460,0.875,62.012,-13.123,95.276
0.126,-0.150,0.843,49.866,-17.212,105.286
-0.020,-0.072,0.944,39.124,-20.020,107.605
-0.095,0.105,1.178,-2.563,-17.456,107.849
-0.138,0.438,1.112,3.540,-13.367,104.675
-0.044,0.544,1.044,14.893,-18.799,98.877
-0.071,0.740,1.160,29.785,-18.066,85.693
-0.202,0.859,1.096,45.349,-11.536,67.444
-0.189,0.839,1.005,38.818,-9.705,48.035
-0.172,0.836,0.887,22.644,-7.874,33.264
-0.154,0.938,0.880,-6.714,-4.211,17.395
-0.170,1.049,0.882,-19.226,-0.854,-2.014
-0.186,1.063,0.830,-24.658,-0.977,-23.743
-0.178,0.930,0.840,-37.170,-3.113,-45.166
-0.138,0.795,0.867,-48.218,-4.089,-61.340
-0.135,0.667,0.903,-49.316,-3.845,-74.829
-0.149,0.504,0.918,-48.523,-2.930,-86.365
-0.177,0.464,0.897,-47.913,-0.793,-94.421
-0.182,0.327,0.834,-48.035,0.610,-103.210
-0.147,0.245,0.879,-59.631,-0.366,-109.985
-0.092,0.252,0.837,-56.641,-0.305,-114.197
-0.059,0.119,0.818,-49.438,-4.150,-119.812
-0.091,-0.156,0.865,-47.058,-8.301,-120.728
-0.116,-0.303,0.919,-40.527,-9.399,-115.540
-0.096,-0.651,0.891,-33.691,-10.315,-108.459
-0.092,-0.997,1.015,-42.480,-13.611,-95.886
-0.076,-0.986,1.103,-38.391,-9.888,-76.416
-0.013,-1.048,1.100,-28.320,-4.517,-61.523
0.048,-1.103,1.009,-18.066,-2.869,-48.218
0.110,-1.274,0.919,-9.583,-2.319,-29.358
0.140,-1.372,0.997,-5.798,-1.099,-2.380
0.144,-1.431,0.988,4.089,-1.404,27.344
0.137,-1.234,0.984,11.719,-5.981,56.824
0.125,-0.921,0.990,24.048,-7.141,77.393
0.078,-0.608,0.999,40.039,-7.690,88.623
0.045,-0.411,1.019,52.795,-8.545,97.900
0.037,-0.397,1.028,51.331,-9.033,106.995
0.049,-0.253,1.023,43.579,-10.864,116.089
0.073,0.020,1.025,57.007,-10.864,119.019
-0.013,-0.194,1.213,44.983,-9.705,116.028
-0.003,-0.143,1.280,12.878,-8.911,119.507
0.017,0.411,1.258,20.325,-4.822,120.361
-0.032,0.608,1.211,54.382,2.441,110.107
0.023,0.586,1.218,60.852,5.432,100.098
0.032,0.855,1.201,73.730,9.888,89.783
0.046,0.800,1.089,79.834,13.367,78.186
0.102,0.683,1.024,63.782,9.033,69.580
0.139,0.517,0.858,45.959,7.019,64.087
0.091,0.550,0.868,16.785,5.432,49.744
-0.027,0.609,0.835,-7.690,6.897,24.475
-0.013,0.678,0.831,-34.058,5.737,-2.136
-0.003,0.763,0.837,-49.133,4.028,-25.757
-0.001,0.711,0.888,-56.213,1.465,-48.279
0.021,0.621,0.849,-51.514,0.305,-64.087
0.029,0.306,0.845,-60.486,-3.418,-73.547
-0.021,0.208,0.959,-75.195,-8.667,-79.468
0.002,0.193,1.075,-78.979,-7.874,-86.731
0.010,0.159,1.069,-65.735,-6.226,-93.689
0.022,-0.148,1.031,-51.208,-7.080,-98.267
0.062,-0.556,1.012,-48.401,-9.216,-94.116
0.052,-0.769,1.120,-49.072,-8.545,-83.374
0.019,-0.653,1.120,-24.353,-2.197,-72.205
0.060,-0.880,0.974,-12.268,0.610,-66.650
0.049,-1.165,1.045,-7.690,-0.488,-52.979
0.086,-1.181,1.112,7.080,2.441,-30.029
0.109,-1.251,1.055,21.667,7.263,-11.292
0.115,-1.197,0.949,30.273,7.263,5.981
0.121,-1.241,0.880,38.208,4.944,24.170
0.102,-1.367,0.901,38.635,1.770,48.584
0.071,-1.192,0.916,38.574,1.648,76.477

0.031,-1.043,0.812,-26.550,-12.085,-34.668
0.029,-1.222,0.854,-50.354,-15.381,-20.752
0.052,-1.243,0.843,-54.321,-17.395,-3.784
0.032,-1.143,0.899,-28.809,-16.724,13.184
0.031,-0.910,0.968,-9.155,-15.991,28.381
0.038,-0.701,0.975,16.113,-13.916,42.908
0.045,-0.635,1.002,40.344,-14.160,54.993
0.091,-0.658,0.989,60.852,-13.550,68.726
0.149,-0.686,0.967,65.430,-14.587,82.520
0.150,-0.565,0.971,55.969,-15.869,94.360
0.093,-0.342,0.921,44.617,-15.991,102.905
0.051,-0.470,1.011,18.127,-16.663,108.337
0.016,-0.203,1.049,-13.428,-14.099,115.356
-0.018,0.045,1.059,-19.470,-12.207,113.159
-0.032,0.487,0.992,12.512,-11.841,105.713
-0.042,0.516,0.941,36.743,-10.315,90.942
-0.074,0.543,1.092,32.288,-11.108,78.491
-0.065,0.613,1.035,28.992,-9.644,69.336
-0.092,0.626,0.874,19.775,-11.719,59.509
-0.057,0.693,0.921,3.601,-12.085,45.898
-0.050,0.974,0.891,8.118,-7.935,29.114
-0.095,1.003,0.883,8.728,-7.141,2.380
-0.045,0.881,0.914,-14.771,-7.568,-21.057
0.024,0.817,0.938,-26.917,-6.958,-38.330
0.042,0.615,0.918,-31.067,-7.568,-56.030
0.051,0.394,0.892,-39.246,-8.118,-69.946
0.062,0.266,0.906,-44.983,-7.324,-79.285
0.022,0.204,1.023,-46.631,-6.470,-85.388
0.011,0.478,0.993,-43.030,-2.869,-89.844
0.048,0.422,0.849,-22.583,-2.869,-101.013
0.080,0.159,0.740,-27.893,-7.446,-112.732
0.038,-0.069,0.812,-40.405,-11.963,-117.249
-0.052,-0.018,0.898,-42.603,-13.367,-117.126
-0.037,-0.368,0.932,-39.185,-15.686,-119.263
-0.070,-0.976,0.866,-48.279,-20.142,-114.685
-0.012,-1.379,1.135,-64.575,-21.118,-94.299
0.005,-1.064,1.115,-30.762,5.371,-36.316
0.056,-1.058,1.014,-24.048,5.981,-21.240
0.110,-1.126,0.938,-26.184,5.432,0.183
0.136,-1.206,0.938,-28.931,3.784,27.954
0.089,-1.113,0.990,-29.602,3.906,56.213
0.055,-0.820,0.969,-17.212,5.981,75.745
0.030,-0.551,0.888,1.526,5.432,84.167
0.031,-0.354,0.815,22.034,1.587,90.210
0.038,-0.272,0.828,39.368,-1.892,98.694
0.035,-0.318,0.844,41.199,-5.493,110.352
0.028,-0.080,0.789,36.682,-9.155,120.789
-0.025,0.419,0.875,42.603,-9.033,120.422
-0.211,0.785,1.075,61.096,-7.019,109.131
-0.089,0.297,1.144,39.124,-8.362,101.685
-0.016,0.508,1.159,13.916,-10.620,101.440
-0.131,1.072,1.209,26.855,-5.859,85.999
-0.190,1.243,1.090,43.640,-1.221,60.120
-0.144,0.889,1.110,22.705,-3.296,41.687
-0.089,1.025,1.158,3.784,0.610,30.579
-0.093,1.233,1.004,3.174,10.315,10.559
-0.112,1.166,0.838,-4.395,7.874,-15.320
-0.045,0.986,0.728,-17.273,5.127,-35.400
0.028,0.797,0.674,-25.085,2.869,-52.734
0.000,0.695,0.699,-27.466,-0.244,-68.481
-0.035,0.534,0.685,-29.480,-3.418,-82.764
-0.066,0.370,0.799,-46.204,-7.446,-92.529
-0.064,0.419,0.937,-59.082,-8.911,-98.694
-0.061,0.445,0.982,-63.293,-7.996,-106.506
-0.078,0.354,0.989,-61.401,-9.949,-117.249
-0.088,0.103,1.006,-63.782,-11.536,-124.268
-0.050,-0.112,1.041,-63.843,-12.207,-122.009
-0.056,-0.327,1.045,-59.143,-11.414,-119.080
-0.054,-0.708,1.207,-56.458,-9.827,-114.746
-0.088,-0.821,1.334,-48.035,-4.578,-99.976
-0.025,-0.993,1.189,-30.212,3.296,-84.656
0.056,-1.156,1.105,-28.809,5.249,-72.449
0.120,-1.174,1.089,-34.729,7.019,-55.054
0.090,-0.893,1.105,-30.762,8.850,-36.072
0.019,-0.732,0.910,-1.709,10.681,-19.226
0.023,-0.996,0.987,13.550,4.456,2.991
0.062,-1.105,1.021,36.987,0.122,37.720
0.056,-1.018,1.039,57.434,-0.977,67.261
0.009,-0.764,1.010,77.637,-1.770,82.886
-0.029,-0.547,0.972,99.182,-1.343,92.346
-0.025,-0.510,0.915,111.328,-3.052,99.670
0.001,-0.430,0.905,112.061,-7.202,108.032
-0.022,-0.172,0.888,113.220,-9.277,112.793
-0.105,0.005,1.064,91.980,-12.207,112.610
-0.117,0.517,0.917,80.688,-13.184,109.741
-0.198,0.158,1.145,43.213,-16.113,102.112
-0.061,0.025,1.215,-20.691,-15.991,104.126
-0.060,0.619,1.123,-5.066,-9.827,102.234
-0.117,0.835,1.079,17.944,-7.019,85.510
-0.074,0.615,1.078,24.658,-5.371,72.632
-0.003,0.537,1.129,10.132,-4.822,63.782
-0.106,1.029,1.128,18.860,0.549,48.523
-0.144,1.102,0.943,24.231,4.639,25.696
-0.074,0.974,0.960,5.188,1.343,8.606
-0.058,1.145,0.956,3.662,3.357,-3.784
-0.067,1.135,0.862,7.751,5.127,-22.766
-0.038,0.940,0.819,1.343,1.038,-44.556
-0.022,0.769,0.812,-8.545,-1.648,-62.012
-0.027,0.648,0.845,-20.813,-2.869,-78.674
-0.024,0.583,0.807,-30.945,-4.578,-95.764
-0.079,0.450,0.886,-44.067,-6.592,-111.206
-0.053,0.138,0.923,-56.458,-8.606,-119.263
-0.015,0.043,0.975,-74.402,-13.855,-120.483
-0.034,0.106,1.050,-62.622,-12.939,-121.277
-0.046,0.043,0.911,-42.480,-11.353,-126.770
-0.032,-0.532,0.963,-35.522,-15.015,-126.343
-0.026,-0.910,1.070,-36.560,-16.174,-108.032
0.002,-1.060,1.111,-26.428,-11.902,-86.121
0.046,-1.214,1.047,-17.334,-8.362,-71.350
0.034,-1.356,0.988,-24.292,-8.118,-57.495
