aX,aY,aZ,gX,gY,gZ
0.023,0.607,0.876,-176.025,-1.709,-44.067
0.023,0.660,0.832,-184.204,-2.136,-50.842
0.022,0.732,0.820,-200.989,-0.671,-57.922
0.040,0.800,0.782,-208.313,2.136,-62.744
-0.156,0.992,1.026,-206.055,2.686,-68.237
0.127,0.945,0.475,-179.321,3.235,-63.721
0.092,0.832,0.828,-202.637,1.648,-67.810
0.060,0.825,0.826,-210.327,7.080,-70.801
0.003,0.790,0.840,-203.430,9.094,-68.970
0.016,0.725,0.817,-201.294,9.949,-70.862
0.065,0.655,0.760,-198.059,10.254,-73.608
0.101,0.679,0.675,-186.096,9.338,-75.867
0.092,0.760,0.573,-172.607,7.935,-77.209
0.080,0.812,0.488,-160.950,7.080,-77.759
0.086,0.857,0.360,-154.419,5.493,-78.125
0.115,0.871,0.317,-152.039,3.113,-78.735
0.100,0.897,0.323,-146.240,0.977,-78.796
0.066,0.874,0.370,-139.221,-0.061,-78.613
0.054,0.841,0.406,-132.202,-1.221,-76.843
0.044,0.839,0.410,-121.704,-2.930,-73.914
0.029,0.836,0.374,-111.206,-5.615,-71.899
0.021,0.841,0.279,-104.919,-9.094,-69.946
0.033,0.891,0.132,-99.426,-16.052,-67.749
0.060,0.958,-0.008,-95.459,-23.987,-67.383
0.083,0.980,-0.104,-90.698,-33.203,-68.115
0.107,0.984,-0.198,-81.116,-43.274,-67.078
0.118,0.955,-0.243,-70.679,-53.406,-65.002
0.117,0.883,-0.248,-61.951,-63.782,-62.988
0.108,0.829,-0.209,-51.514,-74.158,-60.486
0.104,0.793,-0.185,-46.936,-83.008,-58.899
0.104,0.786,-0.181,-44.434,-91.003,-58.716
0.120,0.764,-0.134,-42.603,-98.145,-58.960
0.159,0.746,-0.081,-40.894,-105.347,-58.044
0.175,0.797,-0.018,-30.945,-113.220,-55.847
0.233,0.550,0.379,-28.015,-119.995,-52.551
0.247,0.913,0.320,-7.812,-113.403,-45.715
0.086,0.534,0.911,2.747,-94.299,-46.509
0.038,0.343,1.490,-10.559,-74.158,-38.025
-0.001,0.501,1.709,-9.888,-46.448,-27.832
-0.072,0.536,1.932,-9.216,-24.109,-27.283
0.043,0.825,1.849,12.329,-12.878,-26.062
0.174,0.883,1.537,23.804,-2.991,-30.640
0.265,0.776,1.448,16.602,9.155,-34.607
0.369,0.720,1.320,15.259,21.118,-31.372
0.454,0.714,1.161,9.827,32.593,-27.283
0.520,0.788,0.943,4.456,41.016,-23.499
0.478,0.785,0.909,-6.409,44.922,-20.813
0.453,0.710,0.955,-20.569,47.546,-18.066
0.475,0.791,0.818,-21.179,50.781,-16.724
0.499,0.887,0.647,-14.038,56.335,-19.836
0.429,1.004,0.502,0.244,61.096,-22.949
0.364,0.981,0.528,-10.559,65.186,-23.926
0.263,0.960,0.533,-9.583,69.824,-25.696
0.177,1.244,0.199,7.935,73.853,-27.710
-0.100,0.821,0.548,0.366,79.773,-35.400
-0.082,0.685,0.733,-4.272,86.548,-29.602
0.224,0.705,0.287,9.521,87.463,-22.461
0.384,0.817,-0.180,9.155,88.440,-24.414
0.317,1.012,-0.262,2.258,87.585,-28.564
0.284,0.969,-0.268,4.944,82.947,-30.212
0.299,0.919,-0.589,26.245,67.871,-27.710
0.254,0.898,-0.730,25.269,51.819,-26.978
0.207,0.927,-0.892,33.081,32.898,-24.292
0.181,0.830,-0.998,41.504,8.850,-22.644
0.229,0.632,-0.784,46.509,-16.052,-18.677
0.413,0.606,-0.906,63.599,-37.476,-11.414
0.357,0.648,-0.797,71.655,-58.960,-10.193
0.325,0.750,-0.718,64.941,-79.163,-10.376
0.264,0.825,-0.697,57.617,-98.938,-8.545
0.225,0.775,-0.624,45.288,-116.882,-6.348
0.263,0.564,-0.229,28.564,-132.446,-2.869
0.357,0.760,0.075,32.104,-137.390,2.930
0.206,0.736,0.262,32.654,-126.282,-1.160
0.165,0.592,0.424,18.250,-132.935,-0.366
0.249,0.562,0.956,7.812,-142.456,4.395
0.339,0.943,1.161,7.629,-125.793,2.686
0.230,0.701,1.854,-24.231,-90.271,-7.202
0.211,0.724,2.135,-20.874,-70.313,-5.066
0.342,0.903,2.011,24.719,-48.096,-4.150
0.395,0.788,1.926,31.799,-28.076,-10.132
0.430,0.674,1.840,34.180,-6.226,-13.062
0.405,0.682,1.503,35.645,14.282,-14.526
0.352,0.788,1.239,34.302,27.527,-15.137
0.260,0.838,1.399,36.438,39.673,-12.329
0.323,0.724,1.298,36.926,53.589,-10.498
0.415,0.626,1.197,26.917,64.514,-9.888
0.495,0.651,1.106,8.850,75.256,-10.864
0.531,0.453,1.192,-7.812,87.769,-14.648
0.601,0.894,0.740,-1.221,99.182,-14.221
0.276,0.792,0.618,-1.770,104.614,-23.254
0.127,0.495,1.003,-44.617,111.145,-26.733
0.300,0.541,0.714,-32.776,115.845,-17.090
0.485,0.725,0.071,-32.654,122.803,-18.433
0.275,0.805,0.032,-33.875,124.146,-24.109
0.195,0.758,-0.198,-19.958,121.887,-22.400
0.189,1.000,-0.828,1.770,103.088,-17.944
0.067,1.054,-0.786,4.700,87.585,-20.813
0.185,0.932,-1.064,9.888,59.326,-16.907
