aX,aY,aZ,gX,gY,gZ
-0.953,0.394,0.072,-85.632,-38.757,93.262
-0.995,0.418,0.074,-80.322,-38.086,92.285
-1.033,0.428,0.061,-71.655,-35.950,91.675
-1.047,0.423,0.063,-63.599,-31.128,92.163
-1.039,0.407,0.082,-59.448,-25.513,92.896
-1.033,0.387,0.125,-56.946,-21.301,93.140
-1.031,0.413,0.143,-47.974,-17.822,92.529
-1.039,0.438,0.150,-43.030,-15.381,90.027
-1.046,0.463,0.116,-41.565,-14.099,86.853
-1.036,0.472,0.170,-42.358,-14.526,83.618
-1.010,0.482,0.103,-36.377,-12.756,80.322
-0.992,0.504,0.091,-36.072,-13.428,76.355
-0.983,0.515,0.061,-37.720,-14.465,71.716
-0.959,0.499,0.049,-38.635,-14.648,67.993
-0.944,0.486,0.049,-36.194,-15.930,65.552
-0.923,0.465,0.040,-33.142,-15.930,63.721
-0.895,0.447,0.046,-30.579,-15.808,61.584
-0.864,0.436,0.049,-27.954,-15.259,59.082
-0.826,0.419,0.041,-26.917,-14.282,56.519
-0.784,0.389,0.048,-27.954,-13.306,54.382
-0.727,0.364,0.036,-28.320,-12.878,53.406
-0.649,0.342,-0.048,-29.053,-12.329,52.795
-0.593,0.329,-0.133,-30.945,-16.724,52.856
-0.568,0.339,-0.239,-26.917,-24.780,54.626
-0.566,0.372,-0.275,-21.606,-35.278,58.167
-0.625,0.414,-0.237,-11.536,-46.875,62.988
-0.714,0.498,-0.131,4.028,-57.556,69.275
-0.841,0.603,0.013,20.081,-63.477,74.707
-0.954,0.710,0.129,34.302,-61.035,76.050
-1.042,0.782,0.192,40.222,-52.673,74.768
-1.091,0.818,0.202,42.664,-41.504,71.533
-1.095,0.745,0.129,7.568,-24.780,60.852
-1.066,0.674,0.205,-35.095,-8.789,45.288
-0.953,0.526,-0.108,16.541,-13.245,38.818
-1.039,0.516,-0.071,46.814,-28.931,34.729
-1.069,0.501,-0.155,34.119,-28.259,24.780
-1.156,0.639,-0.217,44.922,-29.541,10.864
-1.271,0.721,-0.083,48.828,-34.973,-5.493
-1.396,0.767,0.048,34.912,-31.250,-24.109
-1.475,0.698,0.133,12.878,-16.602,-43.945
-1.488,0.588,0.196,-11.902,-1.038,-63.782
-1.466,0.530,0.191,-22.217,8.240,-84.351
-1.472,0.500,0.102,-21.729,12.207,-105.774
-1.475,0.488,0.027,-22.400,14.099,-124.878
-1.513,0.551,0.025,-21.301,16.296,-142.334
-1.568,0.598,0.051,-16.541,20.203,-158.081
-1.603,0.648,0.087,0.610,24.780,-170.288
-1.612,0.651,0.132,20.630,30.762,-180.542
-1.617,0.625,0.190,42.969,37.476,-189.087
-1.588,0.573,0.182,63.354,43.274,-194.824
-1.558,0.467,0.283,63.782,47.302,-198.975
-1.509,0.371,0.289,76.233,51.208,-200.928
-1.444,0.330,0.250,90.576,53.772,-200.317
-1.377,0.257,0.295,85.022,40.771,-196.655
-1.329,0.227,0.204,72.021,32.043,-193.481
-1.279,0.229,0.184,68.115,33.386,-190.491
-1.225,0.233,0.151,66.223,34.363,-185.486
-1.154,0.247,0.128,71.228,34.241,-177.856
-1.068,0.232,0.077,82.703,33.936,-168.640
-0.997,0.204,0.019,95.581,35.095,-157.776
-0.939,0.138,0.014,102.478,37.659,-145.264
-0.900,0.086,0.012,109.009,40.405,-131.470
-0.868,0.044,0.006,112.915,42.969,-117.920
-0.844,0.005,-0.013,115.601,46.021,-105.164
-0.817,-0.022,-0.015,115.784,48.157,-93.811
-0.768,-0.033,-0.016,112.000,48.462,-83.313
-0.739,-0.070,-0.003,101.135,46.997,-72.937
-0.723,-0.102,-0.008,88.318,44.922,-62.317
-0.722,-0.122,0.001,77.454,42.236,-51.941
-0.745,-0.105,0.003,67.871,39.124,-42.480
-0.796,-0.085,0.031,55.969,36.133,-33.997
-0.851,-0.061,0.029,44.373,33.264,-26.062
-0.890,-0.043,0.012,34.363,30.212,-18.127
-0.915,-0.043,-0.008,25.024,27.771,-11.047
-0.932,-0.066,-0.037,15.747,26.489,-4.456
-0.937,-0.086,-0.071,7.996,25.940,2.319
-0.939,-0.094,-0.111,1.343,25.513,8.850
-0.950,-0.089,-0.135,-5.066,24.963,14.404
-0.975,-0.073,-0.157,-11.292,24.231,19.287
-1.009,-0.065,-0.182,-16.968,23.254,23.682
-1.036,-0.069,-0.203,-22.522,21.729,27.893
-1.053,-0.081,-0.221,-27.832,19.836,32.104
-1.061,-0.098,-0.242,-32.837,17.883,36.133
-1.047,-0.115,-0.255,-39.124,15.869,40.222
-1.029,-0.121,-0.265,-45.166,13.062,43.945
-1.004,-0.120,-0.268,-50.293,9.949,47.241
-0.983,-0.112,-0.255,-54.565,6.226,50.415
-0.966,-0.102,-0.244,-57.983,2.869,54.016
-0.952,-0.088,-0.217,-62.561,-0.732,58.289
-0.946,-0.072,-0.201,-66.223,-4.700,62.866
-0.954,-0.060,-0.193,-69.153,-9.583,67.871
-0.965,-0.044,-0.184,-70.740,-14.465,73.364
-0.965,-0.034,-0.186,-72.144,-19.958,79.468
-0.959,-0.027,-0.188,-73.547,-25.146,85.815
-0.963,-0.014,-0.185,-73.975,-29.114,92.285
-0.974,0.004,-0.166,-73.059,-32.471,98.816
-0.995,0.035,-0.151,-70.801,-35.767,105.469
-1.011,0.052,-0.131,-71.106,-39.063,111.328
-1.018,0.065,-0.122,-76.477,-42.664,116.638
-1.034,0.084,-0.132,-82.214,-46.265,121.094
-1.075,0.100,-0.110,-88.684,-50.171,125.000
-1.132,0.125,-0.082,-94.116,-52.429,128.113
-1.185,0.160,-0.059,-99.487,-53.345,130.676
-1.246,0.194,0.002,-104.858,-53.284,132.629
-1.307,0.238,0.029,-105.042,-52.246,135.010
-1.367,0.277,0.065,-104.675,-50.354,137.329
-1.407,0.312,0.057,-103.760,-47.546,140.381
-1.429,0.353,0.049,-102.905,-45.654,142.883
-1.438,0.402,0.031,-97.229,-44.312,144.592
-1.423,0.400,-0.022,-87.769,-42.847,145.874
-1.397,0.383,-0.065,-83.679,-43.884,146.606
-1.392,0.374,-0.095,-82.642,-44.617,146.484
-1.379,0.379,-0.093,-81.848,-40.894,143.555
-1.380,0.402,-0.041,-81.055,-34.973,137.268
-1.393,0.452,-0.002,-79.590,-29.419,128.906
-1.401,0.509,0.026,-76.538,-22.583,120.667
-1.415,0.586,0.026,-63.721,-14.832,114.990
-1.391,0.655,0.018,-53.528,1.770,113.037
-1.404,0.642,0.036,-59.021,1.099,110.962

-1.078,0.283,0.120,33.447,-22.644,106.995
-1.060,0.313,0.114,35.828,-23.315,97.168
-1.040,0.347,0.113,37.598,-19.836,88.257
-1.025,0.372,0.099,41.626,-15.747,80.688
-1.001,0.387,0.105,43.518,-12.085,74.219
-0.982,0.391,0.107,43.579,-9.888,68.115
-0.961,0.381,0.126,40.039,-8.545,62.134
-0.950,0.382,0.135,35.583,-7.690,56.458
-0.944,0.398,0.139,32.471,-7.019,50.964
-0.935,0.409,0.144,30.396,-5.615,45.654
-0.923,0.407,0.145,28.564,-3.235,40.466
-0.906,0.392,0.151,28.381,-1.160,34.973
-0.879,0.395,0.119,32.166,0.488,29.724
-0.935,0.403,0.104,36.377,1.099,22.461
-0.886,0.401,0.152,23.437,12.695,13.367
-0.929,0.384,0.098,-1.526,5.371,11.169
-0.908,0.388,0.177,-12.329,8.423,3.174
-0.923,0.384,0.120,-11.658,4.211,-1.770
-0.935,0.372,0.146,-3.540,8.850,-8.606
-0.947,0.334,0.119,12.451,11.780,-15.015
-0.949,0.326,0.107,27.466,14.343,-20.935
-0.960,0.332,0.088,34.790,14.893,-27.954
-0.983,0.352,0.071,34.668,15.564,-35.950
-1.004,0.338,0.042,28.809,16.296,-43.518
-1.016,0.381,0.042,24.414,16.541,-50.415
-1.041,0.406,0.031,23.743,16.541,-58.167
-1.078,0.450,0.047,22.522,17.334,-67.139
-1.122,0.462,0.054,20.264,19.653,-76.233
-1.148,0.458,0.055,17.761,21.545,-85.388
-1.169,0.459,0.020,16.602,22.400,-94.360
-1.197,0.447,0.004,15.381,22.644,-104.797
-1.254,0.450,0.022,6.409,22.522,-116.333
-1.318,0.432,0.038,-2.136,23.621,-128.662
-1.396,0.418,0.048,-11.047,25.024,-141.968
-1.469,0.407,0.072,-21.362,26.855,-155.945
-1.546,0.411,0.069,-26.672,28.564,-170.959
-1.620,0.433,0.071,-31.128,30.151,-186.218
-1.660,0.461,-0.026,-39.551,31.616,-202.087
-1.707,0.458,0.002,-65.430,28.931,-219.116
-1.761,0.466,-0.033,-81.421,26.672,-236.694
-1.824,0.452,-0.067,-91.858,23.682,-254.272
-1.882,0.428,-0.084,-100.098,18.677,-270.325
-1.922,0.416,-0.111,-104.187,12.512,-283.630
-1.951,0.411,-0.111,-103.088,6.042,-293.640
-1.951,0.415,-0.102,-96.191,0.427,-300.659
-1.940,0.403,-0.065,-86.426,-4.333,-304.382
-1.903,0.370,-0.041,-72.754,-6.897,-302.979
-1.835,0.330,-0.027,-55.847,-8.118,-298.218
-1.743,0.303,-0.017,-37.354,-8.606,-291.260
-1.632,0.265,-0.010,-20.142,-9.338,-283.447
-1.527,0.213,-0.003,-3.845,-10.864,-274.719
-1.424,0.166,0.000,12.146,-13.306,-266.479
-1.335,0.129,-0.035,25.635,-14.954,-259.338
-1.250,0.133,-0.047,35.706,-15.259,-250.549
-1.168,0.183,-0.059,43.701,-15.869,-240.845
-1.108,0.218,-0.074,48.279,-16.418,-231.140
-1.050,0.194,-0.087,49.805,-14.709,-220.215
-1.006,0.117,-0.077,50.964,-12.207,-207.153
-0.934,0.024,-0.074,53.833,-9.155,-193.909
-0.855,-0.051,-0.053,50.232,-6.836,-182.861
-0.785,-0.096,-0.035,46.448,-6.042,-170.959
-0.727,-0.150,-0.011,41.443,-5.432,-158.264
-0.671,-0.208,0.018,36.621,-4.761,-144.714
-0.613,-0.255,0.045,33.081,-3.967,-130.493
-0.552,-0.297,0.068,30.945,-2.808,-115.112
-0.496,-0.303,0.075,30.579,-2.014,-98.877
-0.441,-0.277,0.084,33.081,-0.977,-82.092
-0.390,-0.241,0.080,37.354,-0.122,-65.369
-0.350,-0.214,0.074,39.185,0.671,-47.974
-0.333,-0.196,0.087,36.682,0.610,-30.518
-0.322,-0.192,0.073,33.325,-0.366,-13.489
-0.333,-0.173,0.066,32.715,-2.319,3.174
-0.344,-0.145,0.085,30.823,-4.883,20.081
-0.375,-0.105,0.081,29.602,-7.263,36.438
-0.412,-0.057,0.076,28.992,-10.315,52.307
-0.454,-0.019,0.073,27.283,-13.367,67.444
-0.493,0.012,0.066,25.146,-15.320,81.482
-0.520,0.026,0.057,21.179,-16.541,94.910
-0.541,0.035,0.041,17.029,-17.456,107.727
-0.561,0.051,0.013,13.245,-18.921,119.202
-0.589,0.062,-0.006,9.705,-21.484,129.883
-0.618,0.078,-0.030,5.676,-24.353,140.320
-0.664,0.120,-0.049,2.625,-27.344,150.452
-0.726,0.159,-0.056,-1.404,-30.273,159.912
-0.793,0.175,-0.054,-6.226,-32.410,169.128
-0.864,0.183,-0.046,-11.230,-33.752,178.833
-0.936,0.169,-0.020,-17.578,-34.607,189.026
-1.004,0.159,-0.018,-23.254,-34.912,199.158
-1.067,0.175,-0.020,-28.320,-35.400,209.045
-1.128,0.205,-0.018,-33.875,-35.950,217.590
-1.203,0.234,-0.012,-38.635,-36.072,224.915
-1.273,0.253,-0.008,-42.053,-35.400,232.117
-1.346,0.271,-0.027,-44.373,-34.668,239.563
-1.411,0.280,-0.015,-47.485,-33.447,247.375
-1.464,0.286,-0.030,-46.692,-32.288,255.859
-1.527,0.296,-0.034,-44.434,-31.189,264.221
-1.594,0.301,-0.036,-41.077,-30.212,272.156
-1.670,0.322,-0.028,-35.522,-29.358,279.358
-1.761,0.346,0.006,-28.015,-28.748,285.400
-1.831,0.360,0.006,-19.104,-28.076,290.771
-1.899,0.357,0.004,-10.925,-29.907,293.213
-1.978,0.375,0.137,-20.203,-40.344,286.499
-1.943,0.224,0.083,-0.427,-55.237,290.405
-1.919,0.344,0.024,58.289,-28.442,278.931
-1.862,0.303,0.082,49.927,-28.564,287.476
-1.803,0.096,0.192,75.806,-23.865,279.846
-1.783,0.212,0.157,125.549,-31.372,251.648
-1.792,0.644,-0.399,103.760,-7.263,241.089
-1.564,0.404,0.313,-92.224,1.953,253.540
-1.433,0.212,0.165,-142.639,-26.672,257.874
-1.347,0.053,0.212,-63.904,-12.695,230.225
-1.269,0.087,0.212,37.537,-17.334,199.768
-1.245,0.142,0.137,98.389,-25.085,167.664
-1.217,0.172,0.127,117.798,-23.987,140.137
-1.172,0.146,0.144,112.549,-19.470,120.178
-1.136,0.115,0.148,101.929,-19.104,104.675
-1.112,0.095,0.134,91.736,-20.508,91.553
-1.083,0.068,0.121,79.407,-20.569,80.322
-1.067,0.054,0.091,70.496,-20.813,71.106

-0.675,0.181,-0.073,-14.954,-7.202,-145.630
-0.640,0.201,-0.066,-12.207,-5.676,-135.132
-0.593,0.212,-0.053,-8.606,-5.310,-123.535
-0.555,0.233,-0.047,-3.296,-5.127,-110.718
-0.528,0.238,-0.037,2.319,-3.845,-95.886
-0.509,0.231,-0.034,7.751,-4.272,-82.031
-0.491,0.223,-0.020,13.000,-5.615,-69.275
-0.484,0.207,-0.004,17.639,-6.226,-56.335
-0.474,0.184,0.010,21.057,-5.737,-42.786
-0.467,0.164,0.011,24.048,-5.432,-30.151
-0.459,0.155,0.009,26.245,-4.822,-18.494
-0.454,0.154,0.007,26.550,-4.639,-7.385
-0.451,0.151,0.005,25.452,-4.272,3.052
-0.454,0.147,0.005,22.705,-4.333,13.977
-0.463,0.142,0.008,18.555,-4.822,24.475
-0.477,0.149,0.004,14.954,-5.249,34.607
-0.490,0.162,0.003,11.169,-5.188,44.556
-0.502,0.181,-0.001,7.751,-5.493,54.626
-0.516,0.208,-0.012,5.981,-5.798,64.819
-0.535,0.233,-0.018,5.554,-6.042,74.646
-0.557,0.252,-0.026,6.592,-6.348,84.534
-0.579,0.261,-0.029,8.545,-6.714,94.543
-0.599,0.253,-0.039,9.827,-6.958,104.370
-0.615,0.223,-0.025,9.399,-7.812,114.258
-0.642,0.222,-0.043,8.789,-9.033,124.207
-0.664,0.200,-0.032,10.498,-10.620,134.155
-0.694,0.215,-0.047,15.259,-8.423,144.775
-0.738,0.227,-0.046,16.418,-8.484,155.884
-0.785,0.231,-0.036,13.916,-10.986,165.344
-0.836,0.238,-0.043,11.719,-13.672,174.316
-0.891,0.250,-0.042,7.263,-16.174,183.411
-0.945,0.257,-0.052,1.404,-19.409,192.749
-1.010,0.269,-0.048,-7.141,-22.522,202.576
-1.079,0.283,-0.054,-11.292,-23.132,213.745
-1.161,0.284,-0.061,-10.559,-23.010,224.792
-1.239,0.282,-0.136,-3.296,-23.499,235.596
-1.333,0.317,-0.170,6.226,-26.611,246.155
-1.447,0.370,-0.184,21.729,-30.518,256.287
-1.598,0.452,-0.186,42.297,-34.058,265.747
-1.745,0.579,-0.034,64.697,-36.377,273.315
-1.887,0.722,0.069,95.886,-34.424,277.588
-2.012,0.819,0.219,124.817,-30.884,279.785
-2.037,0.847,0.289,152.222,-26.611,279.724
-1.953,0.713,0.235,172.363,-23.315,274.292
-1.714,0.464,0.059,177.490,-20.264,263.367
-1.451,0.285,-0.120,171.692,-15.625,249.084
-1.230,0.162,-0.304,158.936,-15.442,229.614
-1.069,0.069,-0.364,144.226,-15.564,208.313
-0.979,0.039,-0.352,143.127,-16.052,188.843
-0.953,0.048,-0.266,152.283,-17.944,169.189
-0.958,0.052,-0.189,167.236,-22.339,149.170
-0.992,0.059,-0.174,194.336,-30.212,128.479
-1.026,0.059,-0.172,223.938,-38.818,109.436
-1.044,0.076,-0.196,246.155,-44.250,92.346
-1.074,0.089,-0.208,256.958,-46.753,75.623
-1.120,0.082,-0.222,261.719,-48.584,60.486
-1.176,0.005,-0.199,261.475,-49.377,48.706
-1.185,0.018,-0.226,248.291,-45.532,41.382
-1.231,0.073,-0.302,243.347,-43.030,34.607
-1.201,-0.153,-0.180,241.516,-40.833,22.949
-1.149,-0.216,-0.197,213.501,-36.011,16.174
-1.172,-0.228,-0.165,205.811,-33.447,13.000
-1.143,-0.283,-0.119,185.608,-28.992,6.165
-1.110,-0.296,-0.076,159.973,-27.466,-0.854
-1.097,-0.318,-0.042,134.460,-25.879,-5.554
-1.090,-0.365,0.024,108.337,-23.132,-9.460
-1.064,-0.366,0.084,80.872,-20.691,-16.602
-1.014,-0.324,0.123,51.392,-19.104,-23.682
-0.979,-0.262,0.153,21.729,-17.639,-28.564
-0.963,-0.190,0.170,-2.930,-15.869,-31.738
-0.950,-0.114,0.192,-20.203,-14.160,-33.813
-0.932,-0.049,0.212,-33.813,-12.573,-36.072
-0.954,-0.007,0.237,-45.044,-10.315,-39.001
-0.911,0.075,0.222,-55.969,-8.972,-38.757
-0.897,0.116,0.208,-68.298,-6.897,-39.856
-0.881,0.201,0.186,-75.684,-4.150,-39.063
-0.870,0.241,0.161,-78.552,-1.465,-36.987
-0.848,0.258,0.121,-80.139,2.014,-33.020
-0.821,0.261,0.081,-78.308,4.639,-26.978
-0.800,0.250,0.052,-72.021,6.714,-20.264
-0.783,0.238,0.022,-62.927,8.606,-13.062
-0.776,0.222,0.005,-52.673,10.376,-5.859
-0.791,0.209,-0.001,-41.565,12.146,-0.427
-0.798,0.199,-0.014,-31.067,13.916,4.761
-0.810,0.187,-0.014,-20.447,14.526,10.864
-0.833,0.169,-0.004,-10.193,15.015,16.724
-0.861,0.155,0.007,-1.160,15.503,21.790
-0.894,0.143,0.019,5.493,16.479,26.123
-0.929,0.117,0.025,8.545,17.395,29.358
-0.960,0.093,0.033,7.751,18.616,30.762
-0.990,0.066,0.032,3.113,19.592,31.250
-1.014,0.040,0.029,-5.066,21.057,29.785
-1.044,0.019,0.019,-14.832,21.790,28.137
-1.073,-0.017,0.008,-27.039,22.217,26.733
-1.099,-0.040,-0.015,-39.185,22.705,24.536
-1.119,-0.060,-0.044,-50.598,23.132,21.545
-1.142,-0.067,-0.068,-62.683,23.682,16.846
-1.164,-0.087,-0.092,-78.491,24.597,10.437
-1.192,-0.121,-0.087,-101.379,25.513,0.793
-1.243,-0.142,-0.091,-126.587,25.879,-10.071
-1.273,-0.135,-0.073,-147.278,24.597,-24.109
-1.310,-0.130,-0.065,-179.321,26.855,-40.100
-1.323,-0.118,-0.065,-213.196,30.090,-59.692
-1.335,-0.109,-0.063,-248.657,32.654,-82.214
-1.337,-0.085,-0.037,-287.598,37.048,-105.957
-1.263,0.208,0.008,-310.730,36.865,-129.822
-1.322,0.000,-0.227,-324.646,31.799,-152.527
-1.417,-0.058,-0.153,-349.731,28.809,-172.424
-1.361,0.151,-0.284,-327.148,27.039,-191.406
-1.359,0.208,-0.283,-318.787,21.362,-211.548
-1.371,0.278,-0.255,-306.763,13.672,-228.882
-1.415,0.322,-0.198,-290.222,7.019,-244.568
-1.398,0.314,-0.188,-274.658,-0.549,-256.714
-1.401,0.344,-0.123,-248.413,-8.606,-266.663
-1.414,0.378,-0.087,-221.069,-15.747,-273.254
-1.440,0.395,-0.029,-187.988,-21.362,-275.696
-1.449,0.504,-0.090,-145.142,-25.391,-274.170
-1.378,0.362,-0.359,-125.793,-30.579,-270.874
-1.500,0.292,0.202,-120.483,-29.724,-270.691

-0.844,0.225,-0.100,20.020,-61.768,-160.339
-0.777,0.217,-0.094,18.921,-58.533,-150.574
-0.710,0.217,-0.087,18.188,-54.199,-140.747
-0.650,0.219,-0.067,16.724,-50.110,-131.470
-0.599,0.232,-0.054,15.198,-46.509,-121.155
-0.559,0.252,-0.039,13.855,-42.725,-109.192
-0.538,0.266,-0.029,14.465,-38.940,-96.985
-0.515,0.282,-0.022,16.724,-34.851,-84.534
-0.486,0.289,-0.009,19.165,-30.518,-71.045
-0.460,0.281,-0.007,22.583,-26.672,-57.739
-0.436,0.278,0.001,27.649,-22.827,-43.823
-0.425,0.273,0.001,35.217,-19.226,-30.273
-0.412,0.285,0.013,44.800,-14.832,-16.907
-0.396,0.268,0.020,51.453,-10.376,-4.822
-0.381,0.224,0.019,49.927,-6.653,5.859
-0.382,0.208,0.022,47.180,-4.456,16.357
-0.394,0.189,0.022,44.189,-2.441,27.283
-0.406,0.176,0.015,39.063,-0.366,37.659
-0.423,0.179,0.004,33.325,1.587,47.546
-0.446,0.196,-0.011,27.283,3.418,56.824
-0.470,0.218,-0.028,22.156,5.188,65.857
-0.496,0.218,-0.035,18.677,6.531,75.012
-0.515,0.205,-0.038,17.517,7.874,84.839
-0.534,0.205,-0.047,19.165,9.705,95.642
-0.551,0.210,-0.046,22.949,11.780,106.934
-0.579,0.237,-0.058,29.297,13.245,118.347
-0.604,0.261,-0.093,36.438,14.282,129.700
-0.650,0.307,-0.090,39.490,13.611,141.174
-0.683,0.281,-0.063,45.532,12.329,152.283
-0.718,0.237,-0.085,51.025,12.939,162.415
-0.774,0.242,-0.086,53.223,13.977,178.162
-0.840,0.244,-0.097,52.429,11.841,192.932
-0.896,0.224,-0.105,50.842,8.667,205.322
-0.956,0.226,-0.119,50.232,5.859,218.079
-1.041,0.263,-0.145,50.842,2.808,231.628
-1.150,0.289,-0.150,52.917,-1.526,244.080
-1.282,0.332,-0.175,58.167,-6.775,255.432
-1.428,0.403,-0.146,63.416,-11.353,265.808
-1.578,0.466,-0.088,69.336,-16.479,275.757
-1.712,0.547,-0.078,84.167,-17.761,285.156
-1.839,0.651,0.054,103.149,-18.738,294.128
-1.946,0.752,0.112,138.245,-16.785,302.185
-1.956,0.804,0.121,177.185,-14.648,308.899
-1.892,0.787,0.083,215.393,-14.038,315.063
-1.734,0.709,0.008,249.207,-12.756,317.932
-1.602,0.561,-0.113,275.696,-13.184,315.063
-1.474,0.334,-0.176,293.396,-12.817,305.542
-1.316,-0.002,-0.150,287.964,-8.545,283.936
-1.314,0.104,-0.166,284.607,-8.545,257.751
-1.230,-0.097,-0.163,281.128,-10.803,228.455
-1.137,-0.060,-0.171,276.733,-15.808,206.055
-1.093,-0.030,-0.165,272.583,-22.339,183.289
-1.043,-0.046,-0.143,255.249,-25.818,159.668
-1.001,-0.055,-0.134,237.305,-27.222,137.451
-0.992,-0.042,-0.132,223.145,-27.771,117.798
-0.989,-0.079,-0.140,209.412,-27.222,99.182
-1.000,-0.130,-0.140,193.237,-26.428,80.872
-1.006,-0.206,-0.148,171.936,-25.269,64.392
-1.033,-0.220,-0.159,149.658,-23.437,50.415
-1.049,-0.247,-0.165,125.488,-20.935,37.109
-1.050,-0.263,-0.169,101.746,-17.639,25.452
-1.052,-0.261,-0.173,81.055,-14.465,15.137
-1.055,-0.240,-0.169,62.195,-11.841,6.348
-1.057,-0.234,-0.166,46.021,-9.460,-0.488
-1.061,-0.232,-0.165,31.372,-7.629,-5.432
