aX,aY,aZ,gX,gY,gZ
-0.367,0.019,0.831,16.235,-11.841,-5.310
-0.367,0.041,0.831,18.860,-13.184,-5.371
-0.368,0.062,0.823,23.682,-15.137,-5.493
-0.367,0.075,0.816,28.809,-17.151,-5.920
-0.384,0.101,0.830,34.912,-18.982,-6.653
-0.407,0.102,0.843,41.321,-20.264,-7.507
-0.414,0.067,0.855,44.739,-21.179,-8.179
-0.407,0.033,0.870,45.471,-21.240,-8.850
-0.408,0.014,0.863,42.664,-21.057,-9.827
-0.414,-0.008,0.845,37.598,-20.813,-10.620
-0.423,-0.041,0.827,32.104,-20.386,-11.108
-0.422,-0.073,0.817,27.100,-19.836,-11.475
-0.426,-0.096,0.840,23.193,-18.738,-11.353
-0.431,-0.118,0.877,19.470,-17.151,-10.681
-0.444,-0.142,0.900,15.991,-14.893,-9.644
-0.458,-0.151,0.899,14.282,-12.939,-8.484
-0.449,-0.150,0.890,13.306,-11.414,-7.324
-0.437,-0.142,0.872,12.024,-9.949,-6.470
-0.423,-0.146,0.846,10.376,-8.911,-5.920
-0.409,-0.137,0.837,8.606,-8.850,-5.554
-0.393,-0.120,0.828,7.141,-9.521,-5.859
-0.387,-0.103,0.829,6.897,-10.803,-6.714
-0.377,-0.104,0.863,6.836,-12.817,-8.118
-0.371,-0.121,0.876,4.395,-14.893,-9.460
-0.389,-0.134,0.864,-3.296,-16.235,-10.254
-0.401,-0.098,0.866,-14.099,-17.700,-10.864
-0.409,-0.051,0.885,-32.104,-18.555,-13.306
-0.443,0.020,0.903,-62.073,-17.944,-18.311
-0.495,0.092,0.917,-103.027,-17.456,-26.917
-0.497,0.103,0.917,-155.212,-18.066,-38.208
-0.520,0.116,0.834,-199.768,-20.935,-50.049
-0.575,0.143,0.790,-223.328,-25.574,-59.326
-0.561,0.390,0.755,-201.538,-32.349,-64.697
-0.532,0.333,0.782,-139.954,-39.856,-64.697
-0.557,0.109,0.839,-93.140,-46.814,-58.594
-0.548,0.009,0.962,-60.852,-52.551,-49.500
-0.538,-0.006,1.068,-48.157,-55.054,-39.978
-0.582,0.035,1.192,-63.354,-55.847,-33.569
-0.605,0.190,1.364,-94.666,-54.382,-34.302
-0.623,0.278,1.370,-146.851,-49.561,-37.292
-0.685,0.128,1.538,-205.322,-45.166,-39.917
-0.724,0.231,1.712,-228.271,-38.269,-42.419
-0.609,-0.015,1.719,-256.226,-27.344,-36.743
-0.532,-0.023,1.769,-269.043,-16.113,-22.888
-0.284,-0.141,1.676,-259.888,0.061,-22.522
-0.026,-0.460,1.235,-241.577,22.339,-21.179
0.011,-0.488,0.867,-228.760,28.809,-10.010
-0.184,-0.334,0.693,-215.210,18.982,-6.958
-0.271,-0.196,0.432,-184.570,9.521,-13.123
-0.317,-0.483,0.015,-160.217,-0.244,-18.372
-0.315,-0.243,-0.317,-150.024,-18.372,-11.597
-0.469,0.080,-0.461,-138.306,-45.837,-7.019
-0.581,0.517,-0.405,-141.113,-60.364,0.366
-0.667,0.725,-0.266,-139.099,-65.063,5.859
-0.709,0.940,-0.117,-131.226,-61.279,9.949
-0.670,0.968,0.034,-121.155,-47.546,12.024
-0.731,0.952,0.093,-112.305,-36.194,17.456
-0.770,1.016,0.102,-108.459,-26.917,19.104
-0.738,1.102,0.118,-105.896,-15.808,20.935
-0.710,1.152,0.135,-89.050,-10.803,16.663
-0.663,1.120,0.154,-67.810,-4.761,10.864
-0.645,1.070,0.163,-44.128,0.122,7.141
-0.638,1.024,0.167,-23.254,2.686,5.859
-0.615,0.994,0.224,-4.211,5.859,5.249
-0.636,1.005,0.280,15.564,7.507,3.174
-0.629,1.035,0.328,39.673,10.437,-0.732
-0.612,1.083,0.347,66.772,15.442,-4.089
-0.613,1.196,0.348,96.008,19.470,-7.324
-0.610,1.267,0.308,126.648,22.766,-11.841
-0.588,1.366,0.275,161.316,26.001,-18.250
-0.587,1.388,0.249,205.627,29.297,-27.588
-0.566,1.352,0.218,253.540,27.222,-38.696
-0.526,1.231,0.194,286.743,19.226,-52.673
-0.515,1.094,0.140,315.674,9.277,-61.584
-0.439,0.968,0.138,342.224,0.916,-63.293
-0.447,0.722,0.072,360.596,-8.850,-64.453
-0.426,0.508,0.050,373.901,-21.729,-52.429
-0.397,0.260,0.088,387.756,-31.555,-32.593
-0.405,-0.091,0.136,406.067,-37.170,-11.169
-0.381,-0.379,0.207,392.944,-42.236,13.000
-0.386,-0.671,0.327,383.728,-40.649,40.344
-0.390,-1.078,0.492,355.774,-34.302,63.416
-0.085,-1.472,0.727,322.144,-17.639,95.398
-0.557,-1.629,0.839,288.513,18.555,142.273
-1.011,-1.014,0.515,248.840,20.996,139.099
-0.716,-0.559,0.688,180.420,11.475,78.674
-0.335,-0.095,0.695,149.292,31.372,47.791
-0.280,0.129,0.743,145.020,42.419,43.945
-0.284,-0.169,0.867,123.108,38.025,42.053
-0.410,-0.483,1.030,85.266,26.733,41.748
-0.429,-0.456,1.082,57.434,18.250,38.391
-0.389,-0.239,1.139,21.301,15.869,32.166
-0.282,-0.228,1.119,-7.629,16.724,26.489
-0.305,-0.155,1.062,-22.827,19.226,23.132
-0.332,-0.157,1.013,-33.875,18.066,17.334
-0.343,-0.193,0.945,-36.804,13.916,13.000
-0.324,-0.230,0.839,-36.926,8.240,9.277
-0.336,-0.234,0.790,-33.691,1.343,6.470
-0.377,-0.178,0.746,-36.194,-5.676,4.822
-0.417,-0.164,0.728,-40.588,-13.184,1.831
-0.466,-0.200,0.815,-46.997,-19.592,-0.488
-0.512,-0.245,0.914,-50.110,-23.010,-1.953
-0.540,-0.342,0.972,-57.983,-25.208,-2.441
-0.543,-0.397,1.048,-71.899,-25.818,-0.977
-0.582,-0.290,1.142,-84.717,-23.987,-0.488
-0.529,-0.376,1.276,-112.366,-19.592,-3.723
-0.620,-0.504,1.361,-147.766,-13.916,-6.775
-0.685,-0.481,1.357,-179.382,-8.301,-5.432
-0.691,-0.305,1.305,-191.895,-2.075,-5.066
-0.629,-0.082,1.253,-191.895,1.221,-5.920
-0.584,0.106,1.197,-190.735,1.770,-7.874
-0.516,0.139,1.134,-198.181,1.770,-8.667
-0.491,0.110,1.163,-217.773,-0.366,-8.545
-0.479,0.160,1.199,-228.882,0.305,-9.399
-0.465,0.181,1.136,-241.455,5.432,-14.160
-0.352,0.231,1.203,-243.652,10.193,-16.663
-0.236,0.157,1.192,-236.267,16.174,-24.780
-0.143,-0.260,0.928,-230.164,24.048,-29.175
0.047,-0.676,0.427,-239.502,21.790,-15.991

-0.368,0.062,0.823,23.682,-15.137,-5.493
-0.367,0.075,0.816,28.809,-17.151,-5.920
-0.384,0.101,0.830,34.912,-18.982,-6.653
-0.407,0.102,0.843,41.321,-20.264,-7.507
-0.414,0.067,0.855,44.739,-21.179,-8.179
-0.407,0.033,0.870,45.471,-21.240,-8.850
-0.408,0.014,0.863,42.664,-21.057,-9.827
-0.414,-0.008,0.845,37.598,-20.813,-10.620
-0.423,-0.041,0.827,32.104,-20.386,-11.108
-0.422,-0.073,0.817,27.100,-19.836,-11.475
-0.426,-0.096,0.840,23.193,-18.738,-11.353
-0.431,-0.118,0.877,19.470,-17.151,-10.681
-0.444,-0.142,0.900,15.991,-14.893,-9.644
-0.458,-0.151,0.899,14.282,-12.939,-8.484
-0.449,-0.150,0.890,13.306,-11.414,-7.324
-0.437,-0.142,0.872,12.024,-9.949,-6.470
-0.423,-0.146,0.846,10.376,-8.911,-5.920
-0.409,-0.137,0.837,8.606,-8.850,-5.554
-0.393,-0.120,0.828,7.141,-9.521,-5.859
-0.387,-0.103,0.829,6.897,-10.803,-6.714
-0.377,-0.104,0.863,6.836,-12.817,-8.118
-0.371,-0.121,0.876,4.395,-14.893,-9.460
-0.389,-0.134,0.864,-3.296,-16.235,-10.254
-0.401,-0.098,0.866,-14.099,-17.700,-10.864
-0.409,-0.051,0.885,-32.104,-18.555,-13.306
-0.443,0.020,0.903,-62.073,-17.944,-18.311
-0.495,0.092,0.917,-103.027,-17.456,-26.917
-0.497,0.103,0.917,-155.212,-18.066,-38.208
-0.520,0.116,0.834,-199.768,-20.935,-50.049
-0.575,0.143,0.790,-223.328,-25.574,-59.326
-0.561,0.390,0.755,-201.538,-32.349,-64.697
-0.532,0.333,0.782,-139.954,-39.856,-64.697
-0.557,0.109,0.839,-93.140,-46.814,-58.594
-0.548,0.009,0.962,-60.852,-52.551,-49.500
-0.538,-0.006,1.068,-48.157,-55.054,-39.978
-0.582,0.035,1.192,-63.354,-55.847,-33.569
-0.605,0.190,1.364,-94.666,-54.382,-34.302
-0.623,0.278,1.370,-146.851,-49.561,-37.292
-0.486,-1.091,0.532,433.228,-116.089,36.316
-0.595,-1.453,0.624,431.946,-96.680,59.204
-0.632,-1.757,0.855,392.395,-71.289,76.050
-0.637,-1.883,0.957,297.913,-35.767,86.548
-0.645,-1.445,0.895,193.420,-11.292,84.290
-0.619,-0.673,0.909,131.042,2.014,64.392
-0.548,0.008,0.939,113.342,19.836,42.664
-0.479,0.211,1.036,122.681,27.527,30.334
-0.506,-0.060,1.227,109.741,24.048,22.888
-0.555,-0.252,1.297,101.318,18.738,20.264
-0.589,-0.301,1.203,105.408,14.893,26.184
-0.551,-0.191,1.081,83.923,12.878,28.137
-0.474,-0.019,1.007,53.406,12.390,26.062
-0.436,-0.034,0.880,28.442,13.855,19.653
-0.447,-0.065,0.759,12.756,14.771,12.146
-0.450,-0.108,0.661,7.324,14.404,5.798
-0.466,-0.168,0.642,5.615,11.902,0.549
-0.481,-0.216,0.670,2.930,6.836,-2.014
